SUM of funding_total_usd,,status,,,,
country_code,region,acquired,closed,ipo,operating,Grand Total
HRV,HRV - Other,20000,,,,20000
HRV,Osijek,,,,30000,30000
HRV,Split,,,,114304,114304
HRV,Zagreb,,,,2815993,2815993
HRV Total,,20000,,,2960297,2980297
HUN,,,,,118071.1521,118071.1521
HUN,Budapest,80000,7080000,,33620877.89,40780877.89
HUN,HUN - Other,0,89591,,5152500,5242091
HUN Total,,80000,7169591,,38891449.04,46141040.04
IDN,,,500000,,3000000,3500000
IDN,Bekasi Kota,,,,0,0
IDN,Dki Jakarta,,100000,,72500,172500
IDN,IDN - Other,,50000,,102010000,102060000
IDN,Jakarta,,30400000,,687301185,717701185
IDN,Jakarta Pusat,,,,21315000,21315000
IDN,Surabaya,,,,1000,1000
IDN Total,,,31050000,,813699685,844749685
IND,,,53015000,,244292938,297307938
IND,Ahmedabad,10300000,12000,31000000,43200049,84512049
IND,Aurangabad,,,,0,0
IND,Bangalore,250887526,78340000,11380000,6400879121,6741486647
IND,Belgaum,,,,1330000,1330000
IND,Bhopal,,,,1600000,1600000
IND,Bhubaneswar,,,,22550000,22550000
IND,Chandigarh,,25000,,13035000,13060000
IND,Chennai,8500000,18094000,5400000,1055480875,1087474875
IND,Cochin,,,,33389886,33389886
IND,Coimbatore,,25000,,500000,525000
IND,Delhi,,110000,,182944797,183054797
IND,Ernakulam,,,,173000,173000
IND,Faridabad,,,,176605,176605
IND,Ghaziabad,,20000,,107531,127531
IND,Goa,,,,2060000,2060000
IND,Guwahati,,,,19889,19889
IND,Haryana,6000000,,,206960999,212960999
IND,Hubli,,,,100000,100000
IND,Hyderabad,10000000,17035000,267983286,777082084,1072100370
IND,IND - Other,100000000,,,318759368,418759368
IND,Indore,,,,52600000,52600000
IND,Jabalpur,,,,200000,200000
IND,Jaipur,6000000,,,111983217,117983217
IND,Jodhpur,,,,518394,518394
IND,Kanpur,,,,20000,20000
IND,Kochi,,,,24293000,24293000
IND,Kolkata,,0,,1260769050,1260769050
IND,Ludhiana,,,,5000000,5000000
IND,Madhapur,,,,1750000,1750000
IND,Madurai,,,,0,0
IND,Mangalore,,,,36000,36000
IND,Mohali,,,,12260000,12260000
IND,Mumbai,194715015,242456656,24800000,6502204718,6964176389
IND,Mysore,,,,23370000,23370000
IND,Nagpur,,,,260000,260000
IND,Nasik,,,,4010000,4010000
IND,New Delhi,113150000,96690000,55508000,8351587619,8616935619
IND,Pune,5000000,,100000,285119427.1,290219427.1
IND,Secunderabad,,,,70450000,70450000
IND,Surat,,,,100000,100000
IND,Thane,,0,,500000,500000
IND,Thiruvananthapuram,,,,6000000,6000000
IND,Thrissur,,,,75000,75000
IND,Trivandrum,60000000,,,100000,60100000
IND,Udupi,,,,0,0
IND,Vadodara,,,,1770000,1770000
IND,Vellore,,0,,171510,171510
IND,Vijayawada,,,,0,0
IND Total,,764552541,505822656,396171286,26019790077,27686336560
IRL,,,,,3932671,3932671
IRL,Blackrock,73044296.61,,,16443903,89488199.61
IRL,Cork,21479320,,,131866026,153345346
IRL,DÃºn Laoghaire,,,,23726774.09,23726774.09
IRL,Dublin,176403416.7,10128331.78,,1117908840,1304440588
IRL,Galway,1550000,15348724,,98983151,115881875
IRL,IRL - Other,1301000,3939062,105000000,508846687.7,619086749.7
IRL,Kilkenny,,,,623797,623797
IRL,Limerick,29140000,,,33833520,62973520
IRL,Sligo,,,,3905822,3905822
IRL,Tralee,,,,21705611,21705611
IRL,Wexford,,,,2500000,2500000
IRL Total,,302918033.3,29416117.78,105000000,1964276803,2401610954
IRN,IRN - Other,,,,1400000,1400000
IRN Total,,,,,1400000,1400000
ISL,ISL - Other,,,,5179256,5179256
ISL,Reyjavik,,32000,,93439462,93471462
ISL Total,,,32000,,98618718,98650718
ISR,,147000000,18000000,41400000,865294970.9,1071694971
ISR,Haifa,15700000,5000000,,73420000,94120000
ISR,ISR - Other,53740000,12230000,173726066,451205532,690901598
ISR,Jerusalem,15800000,11300000,,42100000,69200000
ISR,Netanya,111500000,77826000,33706296,973520000,1196552296
ISR,Tel Aviv,752818486,307163663,993632274,4537801362,6591415785
ISR Total,,1096558486,431519663,1242464636,6943341864,9713884649
ITA,,,,,4563114,4563114
ITA,Ancona,,,,300000,300000
ITA,Bergamo,,14841000,,129320,14970320
ITA,Bologna,9550000,56059,,4953866.039,14559925.04
ITA,Bolzano,,3611685,,133620,3745305
ITA,Brescia,,,,6982629.371,6982629.371
ITA,Cagliari,,161947,,10369681.35,10531628.35
ITA,Castelfranco Veneto,,,,52122,52122
ITA,Catania,,,,7390838,7390838
ITA,Firenze,,,,68488201,68488201
ITA,Florence,,,,9535968,9535968
ITA,ITA - Other,129590,2910620,33853354.87,98616231.38,135509796.2
ITA,Lucca,,,,661200,661200
ITA,Milan,12037486,59556009,5814700,244087182.4,321495377.4
ITA,Modena,,609932.4143,,1361505,1971437.414
ITA,Naples,6371788,,,11798361,18170149
ITA,Napoli,,,,2658860,2658860
ITA,Palermo,,928135,,1636260.817,2564395.817
ITA,Parma,,,,542944,542944
ITA,Pavia,,,,250000,250000
ITA,Pescara,,,,780000,780000
ITA,Pisa,,,,6081795,6081795
ITA,Reggio Nell Emilia,,,,1805100,1805100
ITA,Rimini,,,,169404,169404
ITA,Rome,646740,2353199.858,,474400862.7,477400802.6
ITA,Roncade,1257295,20275,,5223854,6501424
ITA,Salerno,,,,1216719.944,1216719.944
ITA,San Casciano Val Di Pesa,,,,1100000,1100000
ITA,Terni,,,,752472,752472
ITA,Trento,,,,4529673,4529673
ITA,Turin,,465240,,6000307.305,6465547.305
ITA,Venice,64795,,,15818841,15883636
ITA,Verona,,,,2777412.335,2777412.335
ITA Total,,30057694,85514102.27,39668054.87,995168345.6,1150408197
JAM,JAM - Other,,,,1050000,1050000
JAM,Kingston,,,,32000,32000
JAM Total,,,,,1082000,1082000
JEY,,,,,0,0
JEY Total,,,,,0,0
JOR,,,,,190000,190000
JOR,Amman,73535,3650000,,27367000,31090535
JOR,JOR - Other,,,,500000,500000
JOR Total,,73535,3650000,,28057000,31780535
JPN,,251340000,,66500000,96098727,413938727
JPN,Fukuoka,,,,30097,30097
JPN,JPN - Other,,109315845,30675796,927884834.9,1067876476
JPN,Kyoto,,,,1685122,1685122
JPN,Osaka,2396740,,2100000,23867769,28364509
JPN,Tokyo,170517903,17328811,578594996,2633003219,3399444929
JPN,Yokohama,,,,1262354,1262354
JPN Total,,424254643,126644656,677870792,3683832123,4912602214
KAZ,KAZ - Other,,,,11000000,11000000
KAZ Total,,,,,11000000,11000000
KEN,,,0,,54495.91281,54495.91281
KEN,KEN - Other,,,,13052000,13052000
KEN,Nairobi,,,,311991092,311991092
KEN Total,,,0,,325097587.9,325097587.9
KHM,KHM - Other,,,,30000,30000
KHM,Phnom Penh,,,,450000,450000
KHM Total,,,,,480000,480000
KNA,KNA - Other,,,,15000000,15000000
KNA Total,,,,,15000000,15000000
KOR,,,,,21988946,21988946
KOR,Bundangdong,,,0,7803115.615,7803115.615
KOR,Busan,,,,18000000,18000000
KOR,Daegu,,,,183696,183696
KOR,Daejeon,,,,6122590,6122590
KOR,Incheon,,,,260224.1822,260224.1822
KOR,KOR - Other,,88731,,32631970,32720701
KOR,Seongnam,,,,128222547,128222547
KOR,Seoul,36145222,75020000,81500000,2430673185,2623338407
KOR Total,,36145222,75108731,81500000,2645886274,2838640227
KWT,Salmiya,,,,14050000,14050000
KWT Total,,,,,14050000,14050000
LAO,LAO - Other,,,,2100000,2100000
LAO Total,,,,,2100000,2100000
LBN,,,,,150000,150000
LBN,Beirut,500000,130000,,6578000,7208000
LBN,Jounie,,,,2750000,2750000
LBN,LBN - Other,,,,80000,80000
LBN Total,,500000,130000,,9558000,10188000
LIE,LIE - Other,,5591715.976,,7663173,13254888.98
LIE Total,,,5591715.976,,7663173,13254888.98
LKA,,,,,0,0
LKA,Sri Lanka,,,,447240,447240
LKA Total,,,,,447240,447240
LTU,,,29833,,18410,48243
LTU,Kaunas,,,,48188.32145,48188.32145
LTU,LTU - Other,,1720000,,52000,1772000
LTU,Vilnius,0,65118,,93260601.35,93325719.35
LTU Total,,0,1814951,,93379199.67,95194150.67
LUX,,,39480000,,1700000,41180000
LUX,Bertrange,,,,8900000,8900000
LUX,Esch-sur-alzette,76805032,,,4459771.872,81264803.87
LUX,Leudelange,,,,7780000,7780000
LUX,LUX - Other,,0,,39686092,39686092
LUX,Luxemburg,,7450000,,693907164,701357164
LUX,Strassen,0,,,150000,150000
LUX Total,,76805032,46930000,,756583027.9,880318059.9
LVA,,,21189,,82112,103301
LVA,LVA - Other,,,,239188,239188
LVA,Riga,0,376000,,41547672.34,41923672.34
LVA Total,,0,397189,,41868972.34,42266161.34
MAF,MAF - Other,29243184.41,,,,29243184.41
MAF Total,,29243184.41,,,,29243184.41
MAR,Casablanca,,,,3200000,3200000
MAR Total,,,,,3200000,3200000
MCO,,,,,824871,824871
MCO Total,,,,,824871,824871
MDA,Chisinau,,,,19168,19168
MDA,MDA - Other,,,,79232,79232
MDA Total,,,,,98400,98400
MEX,,,25025,,1488057,1513082
MEX,Cancun,,,,1400000,1400000
MEX,Guadalajara,,70143,,282500,352643
MEX,Los Cabos,,,,15000,15000
MEX,MEX - Other,1500000,55025,,161947592,163502617
MEX,Mexico City,96690000,162325,,599330461.1,696182786.1
MEX,Monterrey,,390000,,4506389,4896389
MEX,Yucatan,,,,280000,280000
MEX Total,,98190000,702518,,769249999.1,868142517.1
MKD,Skopje,,0,,38484,38484
MKD Total,,,0,,38484,38484
MLT,,,0,,17435424,17435424
MLT,Malta,,,,2684420,2684420
MLT Total,,,0,,20119844,20119844
MMR,,,,,18405.90167,18405.90167
MMR,Yangon,,,,1000000,1000000
MMR Total,,,,,1018405.902,1018405.902
MNE,MNE - Other,,,,12200000,12200000
MNE Total,,,,,12200000,12200000
MOZ,,,,,0,0
MOZ,MOZ - Other,,,,0,0
MOZ Total,,,,,0,0
MUS,Mauritius,,,,2355357,2355357
MUS,MUS - Other,,,,365851386,365851386
MUS Total,,,,,368206743,368206743
MYS,,,,,6433333,6433333
MYS,Kuala Lumpur,72500000,1900000,,1144122786,1218522786
MYS,MYS - Other,,19679877,,30697368,50377245
MYS,Penang,,,,190000,190000
MYS Total,,72500000,21579877,,1181443487,1275523364
NGA,,,,,10000,10000
NGA,Abuja,,,,74000000,74000000
NGA,Lagos,,12105000,,182940966,195045966
NGA,NGA - Other,,840000,,152316000,153156000
NGA Total,,,12945000,,409266966,422211966
NIC,,,,,3519200,3519200
NIC Total,,,,,3519200,3519200
NLD,,11121112,,515000000,386554620.6,912675732.6
NLD,Amsterdam,128017000,41886791,102100000,1088432188,1360435979
NLD,Eindhoven,35060358,25663829.86,,77080833.2,137805021.1
NLD,Groningen,,,,6067278.869,6067278.869
NLD,NLD - Other,80000000,6402807,,272436431.8,358839238.8
NLD,Rotterdam,0,720750,63643889,19222593.91,83587232.91
NLD,The Hague,573904795,112363.3381,,1463694690,2037711848
NLD,Utrecht,267240,0,,1069243667,1069510907
NLD Total,,828370505,74786541.2,680743889,4382732304,5966633239
NOR,,,32500000,,156971494.3,189471494.3
NOR,Fornebu,,,,10763244,10763244
NOR,Kristiansand,,32540000,,85523,32625523
NOR,Lysaker,12971851.08,,,3600000,16571851.08
NOR,NOR - Other,5294000,5500000,,62856485.56,73650485.56
NOR,Oslo,40265990,20179287.79,13168035,962052013.5,1035665326
NOR,Sandnes,,,,8380000,8380000
NOR,Sandvika,,,,8871163,8871163
NOR,Skien,,,,15698768,15698768
NOR,Stavanger,,,,2713339,2713339
NOR,Tromso,,,,10494244.79,10494244.79
NOR,Trondheim,796000,,,30235835,31031835
NOR Total,,59327841.08,90719287.79,13168035,1272722110,1435937274
NPL,,,,,15000,15000
NPL,Kathmandu,,,,300000,300000
NPL Total,,,,,315000,315000
NZL,,,5100000,,5808744.205,10908744.21
NZL,Auckland,,2124950.98,70844824.89,570919160,643888935.9
NZL,Christchurch,,,,3350000,3350000
NZL,Dunedin,,,,38924,38924
NZL,NZL - Other,,500000000,6278203,22455395.29,528733598.3
NZL,Wellington,1500000,20356000,374995300,59062650.98,455913951
NZL Total,,1500000,527580951,452118327.9,661634874.5,1642834153
OMN,Muscat,,,,10000,10000
OMN Total,,,,,10000,10000
PAK,,,,,55775000,55775000
PAK,Islamabad,,106000,,42000,148000
PAK,Karachi,360000,25000,,5500,390500
PAK,Lahore,,110000,0,30608000,30718000
PAK,PAK - Other,,,,123500000,123500000
PAK Total,,360000,241000,0,209930500,210531500
PAN,Panama City,,,,19038000,19038000
PAN Total,,,,,19038000,19038000
PER,,,100000,,50000,150000
PER,Lima,,303095,,8486067,8789162
PER,PER - Other,,80000,,20208623,20288623
PER Total,,,483095,,28744690,29227785
PHL,,,,,165407000,165407000
PHL,Cebu,,,,118000,118000
PHL,Davao,,2000000,,41000,2041000
PHL,Manila,1500000,3016143,,21430000,25946143
PHL,PHL - Other,,1000,,317769742,317770742
PHL Total,,1500000,5017143,,504765742,511282885
POL,,,,,3816798,3816798
POL,Bialystok,,,,181840,181840
POL,Gdansk,,40000,,934978,974978
POL,Gdynia,,,,2743824,2743824
POL,Katowice,,,,16929067,16929067
POL,Krakow,,260000,,18379920,18639920
POL,POL - Other,,0,,889220.0213,889220.0213
POL,Poznan,,,,1888547,1888547
POL,Szczecin,,,,766579,766579
POL,Warsaw,924548.3316,562207,,100827554.6,102314310
POL,Wroclaw,,3150000,,59888774,63038774
POL Total,,924548.3316,4012207,,207247101.7,212183857
PRI,PRI - Other,,1191901,,250000,1441901
PRI,Puerto Rico,,,,58000,58000
PRI Total,,,1191901,,308000,1499901
PRT,,,,,995521,995521
PRT,Coimbra,,,,2001835,2001835
PRT,Lisbon,0,275583,,102737628.9,103013211.9
PRT,Porto,27500000,8572300,,26192941.93,62265241.93
PRT,PRT - Other,,,,13952715,13952715
PRT Total,,27500000,8847883,,145880641.9,182228524.9
PRY,PRY - Other,,,,25000,25000
PRY Total,,,,,25000,25000
PSE,,,,,20000,20000
PSE Total,,,,,20000,20000
QAT,Doha,,,,156000,156000
QAT Total,,,,,156000,156000
ROM,Bucharest,6940000,260848.8984,,14497108,21697956.9
ROM,Cluj-Napoca,,150000,,854449,1004449
ROM,Iasi,,,,4650000,4650000
ROM,ROM - Other,,7000000,,7566,7007566
ROM,Timisoara,,,,1410457,1410457
ROM Total,,6940000,7410848.898,,21419580,35770428.9
RUS,,,28853021,,28712000,57565021
RUS,Kazan,,350000,,65463,415463
RUS,Moscow,1375500000,693719092,5907700000,2916897029,10893816121
RUS,Nizhniy Novgorod,,1000000,,1079000,2079000
RUS,Novosibirsk,,362200,,4200000,4562200
RUS,Omsk,,1000000,,0,1000000
RUS,Perm,,1290000,,350000,1640000
RUS,RUS - Other,1000000,31023994,,246436931,278460925
RUS,St. Petersburg,,15740000,,23841390,39581390
RUS Total,,1376500000,773338307,5907700000,3221581813,11279120120
RWA,,,,,140000,140000
RWA,Kigali,,,,131000,131000
RWA Total,,,,,271000,271000
SAU,Jeddah,,540000,,774333,1314333
SAU,Riyadh,,300000,,243465,543465
SAU,SAU - Other,,,,500000,500000
SAU Total,,,840000,,1517798,2357798
SEN,SEN - Other,,,,2860000,2860000
SEN Total,,,,,2860000,2860000
SGP,,,,,86521436.24,86521436.24
SGP,Singapore,127604572,179273581.3,419018772,3255994034,3981890959
SGP Total,,127604572,179273581.3,419018772,3342515470,4068412395
SLV,San Salvador,,,,50000,50000
SLV,SLV - Other,,350000,,40000,390000
SLV Total,,,350000,,90000,440000
SOM,SOM - Other,,2000000,,,2000000
SOM Total,,,2000000,,,2000000
SRB,,,,,393671,393671
SRB,Belgrade,,,,5585312.595,5585312.595
SRB,SRB - Other,,,,77391.45679,77391.45679
SRB Total,,,,,6056375.052,6056375.052
SVK,,,,,3978550,3978550
SVK,Bratislava,0,53491,,6199435.229,6252926.229
SVK,Kosice,,242563,,4500000,4742563
SVK,SVK - Other,,,,354262,354262
SVK Total,,0,296054,,15032247.23,15328301.23
SVN,Ljubljana,,252040,,5586807,5838847
SVN,SVN - Other,,,,11865144,11865144
SVN Total,,,252040,,17451951,17703991
SWE,,,7090365,72861405,108306186.4,188257956.4
SWE,Danderyd,,,71779200,,71779200
SWE,Gothenburg,23180000,3758719,,177408185.2,204346904.2
SWE,Halmstad,,,,170000,170000
SWE,Jonkoping,,,,233000,233000
SWE,Karlskrona,,0,,,0
SWE,Linkoping,3283139,707000,,45076352,49066491
SWE,Lulea,,,,8186733,8186733
SWE,Malmo,19463909,9624315,10762732,443163972.9,483014928.9
SWE,Norrkoping,,,,41956500,41956500
SWE,Stockholm,140990646,171575169.1,37401486,2287508623,2637475924
SWE,Sundsvall,,,,1112000,1112000
SWE,SWE - Other,0,862446.9666,282109711,109561218.9,392533376.9
SWE,Umea,,,,2687932,2687932
SWE Total,,186917694,193618015,474914534,3225370703,4080820946
SYC,Seychelles,,35000,,,35000
SYC Total,,,35000,,,35000
TAN,,,,,3180000,3180000
TAN,TZA - Other,,2800000,,106484000,109284000
TAN Total,,,2800000,,109664000,112464000
TGO,TGO - Other,,,,285000000,285000000
TGO Total,,,,,285000000,285000000
THA,,,,,1474575,1474575
THA,Bangkok,41600000,8710000,,79579646,129889646
THA,Chiang Mai,,,,740000,740000
THA,Phuket,,,,0,0
THA,THA - Other,,,,1242414,1242414
THA Total,,41600000,8710000,,83036635,133346635
TTO,TTO - Other,0,,,10560000,10560000
TTO Total,,0,,,10560000,10560000
TUN,TUN - Other,,,,0,0
TUN,Tunis,,,,3970000,3970000
TUN Total,,,,,3970000,3970000
TUR,,,,,250000,250000
TUR,Ã‡an,64200000,13500000,,254196194,331896194
TUR,Ankara,,,,5657014,5657014
TUR,Istanbul,54727861,435000,,265075075,320237936
TUR,Izmir,,220000,,665555,885555
TUR,Konya,,500000,,,500000
TUR,TUR - Other,,,151808176,42785901,194594077
TUR Total,,118927861,14655000,151808176,568629739,854020776
TWN,,,11700,12705445,53473872,66191017
TWN,Taiwan,,30300000,0,810138372,840438372
TWN Total,,,30311700,12705445,863612244,906629389
UGA,Kampala,,120000,,5142000,5262000
UGA,UGA - Other,,,,0,0
UGA Total,,,120000,,5142000,5262000
UKR,,,,,20265,20265
UKR,Dnepropetrovsk,,,,354000,354000
UKR,Kharkov,,,,150000,150000
UKR,Kiev,,6780000,,16501000,23281000
UKR,Lviv,,,,70000,70000
UKR,Odessa,,,,740000,740000
UKR,Simferopol,,,,300000,300000
UKR,UKR - Other,,,,40461.03363,40461.03363
UKR Total,,,6780000,,18175726.03,24955726.03
URY,Montevideo,8500000,,,13010000,21510000
URY Total,,8500000,,,13010000,21510000
USA,,7390750,387775000,42658161,525565459.2,963389370.2
USA,AK - Other,,,,9450000,9450000
USA,Akron - Canton,500000,2400000,,106981659,109881659
USA,AL - Other,,245000,,14655000,14900000
USA,"Albany, Georgia",,,,12865000,12865000
USA,"Albany, New York",11240000,,,201148652,212388652
USA,Albuquerque,95950000,9148825,1204142,689065371,795368338
USA,Alexandria,116300000,24600000,56500000,266566482,463966482
USA,Allentown,44150000,70050000,6100000,97015237,217315237
USA,Anaheim,2947288224,790659338,532801020,5026161889,9296910471
USA,Anchorage,,283500,75000000,6914058,82197558
USA,AR - Other,,,,4770038,4770038
USA,Asheville,,25000,,78220587,78245587
USA,"Athens, Georgia",,,,1090000,1090000
USA,Atlanta,1644456418,431554759.7,4098554169,5328873061,11503438408
USA,Atlantic City,31121199,,,51352901,82474100
USA,"Augusta, Maine",,,,4000000,4000000
USA,Austin,3222977226,1029873334,18282814048,6862982817,29398647425
USA,AZ - Other,3500000,,,765000,4265000
USA,Bakersfield,10000000,104288800,,266230275,380519075
USA,Baltimore,973804056,80000000,173583333,2736002314,3963389703
USA,Bangor,,,,32496239,32496239
USA,Baton Rouge,3400000,9325600,,103656787,116382387
USA,Billings,,,,97200000,97200000
USA,Biloxi - Gulfport,,,,232763,232763
USA,Birmingham,42450150,35027000,44545169,229436030,351458349
USA,Bismarck,,,,12000800,12000800
USA,Boise,7750000,110000000,50410400,267121345,435281745
USA,Boston,9462051530,2143565289,14067736529,30152234530,55825587877
USA,Bowling Green,,170000,,300000,470000
USA,Bozeman,58562640,,,22963166,81525806
USA,Branson,7000000,,,4653600,11653600
USA,Buffalo,0,21215000,258426557,231309088,510950645
USA,CA - Other,44693630,197747792,65230440,1763221510,2070893372
USA,Cape Cod,8963175,410000,,166731818,176104993
USA,Carthage,,,,36665000,36665000
USA,Cedar Rapids,85000000,9805181,,177879624,272684805
USA,"Charleston, South Carolina",17841116,0,74664439,289420873,381926428
USA,"Charleston, West Virginia",2424999,,,3075573,5500572
USA,Charlotte,707265955,74950000,117374276,837437315,1737027546
USA,Chattanooga,1800000,6150000,173111,63429556,71552667
USA,Cheyenne,,,,3511556,3511556
USA,Chicago,3006889264,239455787,4941575392,9806875309,17994795752
USA,Cincinnati,56733988,8535000,156220401,530430796,751920185
USA,Cleveland,491513698,32515136,11650002,1427943725,1963622561
USA,CO - Other,,510100000,203570000,49224748,762894748
USA,Colorado Springs,14920000,22655660,,109510396,147086056
USA,"Columbia, South Carolina",,4000000,,3880900,7880900
USA,"Columbus, Georgia",,54000000,,15175345,69175345
USA,"Columbus, Ohio",9976763,83953086,1596190000,614007626,2304127475
USA,Corpus Christi,,20000000,,150000,20150000
USA,CT - Other,52000000,10900000,9750000,118865604,191515604
USA,Dallas,2893473194,514523264,1825341242,9853696839,15087034539
USA,Dayton,,,11750000,68677000,80427000
USA,Daytona Beach,9562500,,,55500000,65062500
USA,DE - Other,,,,3880000,3880000
USA,Denver,1250827089,1721492891,1717210790,5984722651,10674253421
USA,Des Moines,62675324,17400000,909832749,63489546,1053397619
USA,Detroit,408094776,151650000,1384962336,1503537104,3448244216
USA,Dover,,75000,,4710033,4785033
USA,Duluth,,6100000,,11650999,17750999
USA,El Paso,,,,35003000,35003000
USA,Elmira,38805883,3263500,,861875725,903945108
USA,Eugene,0,550000,,281738773,282288773
USA,Evansville,,,,0,0
USA,Fargo,,,,66957024,66957024
USA,Fayetteville,5588000,,,160299273,165887273
USA,FL - Other,,10112500,,52933178.28,63045678.28
USA,Flagstaff,,,,0,0
USA,Flint,,,,27874938,27874938
USA,Florida Keys,,,,205480,205480
USA,Florida's Space Coast,131600000,0,323641726,368238262,823479988
USA,Florida's Treasure Coast,7000000,58500000,,68145137,133645137
USA,Fort Collins,23300000,60000,,163813013,187173013
USA,Fort Myers,,200000,500000,402941389,403641389
USA,Fort Wayne,,,,13894093,13894093
USA,Fresno,0,50000,,15611799.97,15661799.97
USA,Ft. Lauderdale,152810000,28958198,16314793,1458302840,1656385831
USA,GA - Other,0,,,36853387.85,36853387.85
USA,Gainesville,10850000,4552414,147969779,181395081,344767274
USA,Grand Junction,0,,,31025738,31025738
USA,Grand Rapids,,4550000,,95006080,99556080
USA,Green Bay,35260000,2949596,,4891000,43100596
USA,Greensboro,,0,,162811386,162811386
USA,Greenville - Spartanburg,234073491,21490026,4290000,373881588,633735105
USA,"Greenville, North Carolina",,,,13754402,13754402
USA,Hagerstown,23260000,2600000,99051350,133840012,258751362
USA,Harlingen,,,,19962515,19962515
USA,Harrisburg,1630000,16345999,75328948,116394518,209699465
USA,Hartford,1045867371,268013315,7470942439,3663332081,12448155206
USA,Hawaii - Big Island,,,,295000,295000
USA,Helena,,,,25000000,25000000
USA,HI - Other,,,,10000,10000
USA,Hilton Head Island,,,,3569273,3569273
USA,Honolulu,,10605192,4973170,195284109,210862471
USA,Houston,1048930790,442058088,2548252617,5856686330,9895927825
USA,Huntsville,1620030,1800000,,321457230,324877260
USA,IA - Other,,4000000,75103391,27313938,106417329
USA,ID - Other,,23250000,25000000,56898815,105148815
USA,Idaho Falls,,4070000,,12759900,16829900
USA,IL - Other,85000000,5651500,,83219346,173870846
USA,IN - Other,2400000,4140000,2000000,24413691,32953691
USA,Indianapolis,293887024,40242875,318327890,978890140,1631347929
USA,Jackson,134170000,11000000,,53655000,198825000
USA,Jacksonville,717200000,19992283,379289990,442422157,1558904430
USA,Kalamazoo,250005,,,153434222,153684227
USA,Kansas City,283036298,34763000,172556628,711188280,1201544206
USA,Kauai,,,,0,0
USA,Knoxville,1150000,280000,10000000,165206949,176636949
USA,KS - Other,6500000,2450000,,173221543,182171543
USA,KY - Other,,5026500,,542703061,547729561
USA,LA - Other,24600000,,,24369500,48969500
USA,"Lafayette, Louisiana",,,16500000,147199830,163699830
USA,Lake Tahoe,,86000,,800000,886000
USA,Lansing,7500000,18789048,,23312809,49601857
USA,Las Vegas,154126927,51163364,28280497,296900182,530470970
USA,Lexington,59700,2077000,,163767730,165904430
USA,Little Rock,,49550000,4671652,92549818,146771470
USA,Long Island,512729630,18387000,326078456,461047014,1318242100
USA,Los Angeles,3606053863,1057249588,2449886812,19396050221,26509240484
USA,Louisville,85900000,37270519,,394599329.5,517769848.5
USA,Lubbock,,,,40150057,40150057
USA,MA - Other,2104250,14558160,,480411780,497074190
USA,Macon,,,,6687992,6687992
USA,Madison,239009206,11799278,62050000,617583925,930442409
USA,"Manchester, New Hampshire",317165009,144408345,98649920,1002450085,1562673359
USA,Maui,,0,1900000,1659000,3559000
USA,MD - Other,2030000,15000,95875000,44157012,142077012
USA,ME - Other,127956281,662000,,167974028,296592309
USA,Medford,100000000,,,72982614,172982614
USA,Memphis,11000000,9890300,84682455,310221146,415793901
USA,Meridian,,,,0,0
USA,MI - Other,1300000,,,57663145,58963145
USA,Miami,359490537,71382357,392400000,1332904577,2156177471
USA,Milwaukee,167750204,17196850,1904800000,405921733,2495668787
USA,Minneapolis,753822659,238920082,822971313,3550098534,5365812588
USA,Missoula,,730000,,37316120,38046120
USA,MN - Other,63326197,54540000,63479371,264726500,446072068
USA,MO - Other,,19460986,66700000,424286585,510447571
USA,Mobile,,,,8646823,8646823
USA,Moline - Davenport,,,,425000,425000
USA,Monroe,,,7999399,,7999399
USA,Monterey,,0,,50000,50000
USA,Montgomery,,,,11531116,11531116
USA,Montpelier,11077370,1250000,,61090489,73417859
USA,MS - Other,,90000,,6354236,6444236
USA,MT - Other,,28561000,,26351079,54912079
USA,Myrtle Beach,,,,26913400,26913400
USA,Napa Valley,308453854,236050100,493450270,709961867,1747916091
USA,"Naples, Florida",,142200000,,129367768,271567768
USA,Nashville,108177942,154394950,129295970,1700306170,2092175032
USA,NC - Other,,,40898708,152896488.6,193795196.6
USA,ND - Other,,,,69095029,69095029
USA,NE - Other,8697000,,,19836995,28533995
USA,New Bedford,35341046,76900000,,136543437,248784483
USA,New Orleans,,2280000,,68553935,70833935
USA,New York City,11981880504,1459493820,33938571687,31068410650,78448356661
USA,Newark,1009625429,678852896,2788066308,5673083759,10149628392
USA,NH - Other,,1500000,,25000,1525000
USA,NJ - Other,458339206,14599170,118433479,217565380,808937235
USA,NM - Other,15000000,,,5916024,20916024
USA,Norfolk - Virginia Beach,,,18000000,38705000,56705000
USA,NV - Other,,0,6000000,3110000,9110000
USA,NY - Other,20892250,9193100,30314750,260136493,320536593
USA,OH - Other,0,,12000000,30984316,42984316
USA,OK - Other,,,,18130150,18130150
USA,Oklahoma City,42500000,,,263358895,305858895
USA,Omaha,33600000,234812761.2,163789760,971550797,1403753318
USA,Ontario - Inland Empire,36222535,15165813,161307130,341583761,554279239
USA,OR - Other,,,,150000,150000
USA,"Orange County, California",273010000,64055247,3114157,868922673,1209102077
USA,Orlando,337741950,72015139,34900000,1094733315,1539390404
USA,PA - Other,114135033,,73850002,46767872,234752907
USA,Palm Beaches,137740000,144039243,905177701,918071645,2105028589
USA,Palm Springs,,248400,,6260150,6508550
USA,Panama City,,,,14184751,14184751
USA,Pensacola,20855000,,,80029052.64,100884052.6
